Datetime,Invalid,MBIKE,CAR,LGV,BUS,CARAVAN,Total,HGVs
2020-01-01 00:00:00,0.0,2.0,1112.0,89.0,24.0,1.0,1243.0,15.0
2020-01-01 01:00:00,0.0,0.0,1431.0,125.0,16.0,1.0,1590.0,17.0
2020-01-01 02:00:00,0.0,0.0,923.0,86.0,8.0,2.0,1030.0,11.0
2020-01-01 03:00:00,0.0,2.0,611.0,64.0,16.0,1.0,701.0,7.0
2020-01-01 04:00:00,0.0,1.0,526.0,55.0,14.0,0.0,613.0,17.0
2020-01-01 05:00:00,0.0,0.0,525.0,62.0,15.0,2.0,623.0,19.0
2020-01-01 06:00:00,0.0,2.0,850.0,67.0,27.0,1.0,993.0,46.0
2020-01-01 07:00:00,0.0,5.0,1136.0,101.0,31.0,1.0,1319.0,45.0
2020-01-01 08:00:00,0.0,3.0,1206.0,96.0,48.0,1.0,1400.0,46.0
2020-01-01 09:00:00,0.0,3.0,1529.0,126.0,32.0,4.0,1744.0,50.0
2020-01-01 10:00:00,0.0,5.0,2466.0,186.0,31.0,8.0,2758.0,62.0
2020-01-01 11:00:00,0.0,9.0,3960.0,272.0,30.0,2.0,4352.0,79.0
2020-01-01 12:00:00,0.0,13.0,5448.0,403.0,37.0,7.0,5990.0,82.0
2020-01-01 13:00:00,0.0,13.0,6621.0,472.0,36.0,3.0,7212.0,67.0
2020-01-01 14:00:00,0.0,16.0,7026.0,496.0,29.0,8.0,7642.0,67.0
2020-01-01 15:00:00,0.0,10.0,6706.0,419.0,31.0,4.0,7230.0,60.0
2020-01-01 16:00:00,0.0,22.0,6723.0,493.0,39.0,7.0,7349.0,65.0
2020-01-01 17:00:00,1.0,9.0,6012.0,384.0,41.0,5.0,6520.0,68.0
2020-01-01 18:00:00,1.0,3.0,5241.0,316.0,39.0,2.0,5672.0,70.0
2020-01-01 19:00:00,0.0,7.0,4376.0,266.0,34.0,3.0,4744.0,58.0
2020-01-01 20:00:00,0.0,4.0,3473.0,214.0,28.0,3.0,3781.0,59.0
2020-01-01 21:00:00,0.0,3.0,2375.0,147.0,40.0,0.0,2644.0,79.0
2020-01-01 22:00:00,0.0,1.0,1716.0,136.0,25.0,1.0,1958.0,79.0
2020-01-01 23:00:00,0.0,4.0,1032.0,100.0,28.0,0.0,1239.0,75.0
2020-01-02 00:00:00,0.0,0.0,628.0,77.0,29.0,0.0,814.0,80.0
2020-01-02 01:00:00,0.0,1.0,294.0,52.0,11.0,1.0,452.0,93.0
2020-01-02 02:00:00,0.0,0.0,209.0,52.0,8.0,0.0,357.0,88.0
2020-01-02 03:00:00,0.0,0.0,316.0,58.0,14.0,0.0,493.0,105.0
2020-01-02 04:00:00,0.0,0.0,683.0,129.0,16.0,1.0,987.0,158.0
2020-01-02 05:00:00,0.0,1.0,1366.0,254.0,27.0,1.0,1983.0,334.0
2020-01-02 06:00:00,0.0,9.0,3948.0,735.0,44.0,13.0,5279.0,530.0
2020-01-02 07:00:00,0.0,8.0,6125.0,1001.0,40.0,4.0,7733.0,555.0
2020-01-02 08:00:00,0.0,13.0,6296.0,1058.0,45.0,11.0,8015.0,592.0
2020-01-02 09:00:00,1.0,9.0,5061.0,1065.0,41.0,18.0,6872.0,677.0
2020-01-02 10:00:00,0.0,14.0,5118.0,1049.0,50.0,24.0,6988.0,733.0
2020-01-02 11:00:00,0.0,15.0,6215.0,1191.0,45.0,14.0,8210.0,730.0
2020-01-02 12:00:00,0.0,7.0,7061.0,1193.0,41.0,24.0,9126.0,800.0
2020-01-02 13:00:00,5.0,7.0,7325.0,1121.0,35.0,26.0,9196.0,677.0
2020-01-02 14:00:00,1.0,12.0,7534.0,1173.0,45.0,23.0,9445.0,657.0
2020-01-02 15:00:00,0.0,13.0,8167.0,1198.0,39.0,16.0,10014.0,581.0
2020-01-02 16:00:00,1.0,17.0,9614.0,1122.0,42.0,16.0,11295.0,483.0
2020-01-02 17:00:00,0.0,17.0,8837.0,874.0,39.0,4.0,10117.0,346.0
2020-01-02 18:00:00,0.0,8.0,6318.0,542.0,42.0,8.0,7181.0,263.0
2020-01-02 19:00:00,0.0,5.0,4517.0,444.0,44.0,6.0,5270.0,254.0
2020-01-02 20:00:00,0.0,5.0,3255.0,315.0,35.0,3.0,3805.0,192.0
2020-01-02 21:00:00,0.0,6.0,2392.0,198.0,30.0,2.0,2819.0,191.0
2020-01-02 22:00:00,0.0,4.0,1854.0,184.0,22.0,1.0,2250.0,185.0
2020-01-02 23:00:00,0.0,6.0,1160.0,119.0,26.0,2.0,1489.0,176.0
2020-01-03 00:00:00,0.0,0.0,746.0,87.0,31.0,1.0,1025.0,160.0
2020-01-03 01:00:00,0.0,1.0,324.0,63.0,18.0,0.0,524.0,118.0
2020-01-03 02:00:00,0.0,1.0,251.0,62.0,6.0,1.0,435.0,114.0
2020-01-03 03:00:00,0.0,0.0,303.0,72.0,15.0,1.0,516.0,125.0
2020-01-03 04:00:00,0.0,3.0,637.0,156.0,15.0,0.0,1021.0,210.0
2020-01-03 05:00:00,0.0,4.0,1261.0,269.0,27.0,3.0,1952.0,388.0
2020-01-03 06:00:00,0.0,12.0,3708.0,756.0,62.0,13.0,5204.0,653.0
2020-01-03 07:00:00,0.0,13.0,6086.0,1162.0,41.0,16.0,8053.0,735.0
2020-01-03 08:00:00,0.0,12.0,6628.0,1155.0,40.0,19.0,8636.0,782.0
2020-01-03 09:00:00,0.0,15.0,5392.0,1176.0,49.0,28.0,7475.0,815.0
2020-01-03 10:00:00,0.0,8.0,5690.0,1136.0,54.0,29.0,7782.0,865.0
2020-01-03 11:00:00,1.0,15.0,6459.0,1285.0,47.0,38.0,8718.0,873.0
2020-01-03 12:00:00,1.0,20.0,7575.0,1304.0,43.0,38.0,9868.0,887.0
2020-01-03 13:00:00,2.0,19.0,7743.0,1460.0,52.0,42.0,10108.0,790.0
2020-01-03 14:00:00,2.0,16.0,8332.0,1521.0,50.0,32.0,10717.0,764.0
2020-01-03 15:00:00,0.0,19.0,8952.0,1509.0,51.0,38.0,11258.0,689.0
2020-01-03 16:00:00,2.0,27.0,9633.0,1133.0,41.0,20.0,11353.0,497.0
2020-01-03 17:00:00,1.0,17.0,8675.0,844.0,42.0,12.0,9944.0,353.0
2020-01-03 18:00:00,0.0,12.0,6836.0,705.0,52.0,12.0,7888.0,271.0
2020-01-03 19:00:00,2.0,16.0,5239.0,456.0,42.0,10.0,5991.0,226.0
2020-01-03 20:00:00,0.0,3.0,3940.0,315.0,45.0,5.0,4499.0,191.0
2020-01-03 21:00:00,0.0,11.0,2870.0,270.0,38.0,9.0,3410.0,212.0
2020-01-03 22:00:00,0.0,5.0,2143.0,237.0,27.0,2.0,2586.0,172.0
2020-01-03 23:00:00,0.0,3.0,1483.0,154.0,35.0,1.0,1809.0,133.0
2020-01-04 00:00:00,0.0,3.0,1045.0,117.0,30.0,3.0,1359.0,161.0
2020-01-04 01:00:00,0.0,2.0,544.0,65.0,13.0,2.0,727.0,101.0
2020-01-04 02:00:00,0.0,2.0,355.0,64.0,11.0,2.0,525.0,91.0
2020-01-04 03:00:00,0.0,1.0,333.0,65.0,16.0,0.0,510.0,95.0
2020-01-04 04:00:00,0.0,1.0,613.0,112.0,12.0,0.0,854.0,116.0
2020-01-04 05:00:00,0.0,0.0,961.0,161.0,21.0,2.0,1336.0,191.0
2020-01-04 06:00:00,0.0,4.0,1559.0,277.0,37.0,7.0,2137.0,253.0
2020-01-04 07:00:00,0.0,3.0,2136.0,427.0,30.0,12.0,2883.0,275.0
2020-01-04 08:00:00,0.0,10.0,3173.0,512.0,38.0,16.0,4025.0,276.0
