Datetime,Invalid,MBIKE,CAR,LGV,BUS,CARAVAN,Total,HGVs
2020-01-01 00:00:00,0.0,10.0,1061.0,75.0,18.0,0.0,1180.0,16.0
2020-01-01 01:00:00,0.0,11.0,1273.0,87.0,8.0,0.0,1392.0,13.0
2020-01-01 02:00:00,0.0,4.0,772.0,85.0,3.0,1.0,873.0,8.0
2020-01-01 03:00:00,0.0,3.0,482.0,61.0,6.0,0.0,558.0,6.0
2020-01-01 04:00:00,0.0,2.0,411.0,57.0,9.0,0.0,486.0,7.0
2020-01-01 05:00:00,0.0,1.0,373.0,61.0,4.0,0.0,459.0,20.0
2020-01-01 06:00:00,0.0,3.0,715.0,53.0,6.0,1.0,808.0,30.0
2020-01-01 07:00:00,0.0,4.0,942.0,63.0,7.0,0.0,1030.0,14.0
2020-01-01 08:00:00,0.0,6.0,1009.0,92.0,6.0,0.0,1136.0,23.0
2020-01-01 09:00:00,0.0,13.0,1359.0,120.0,6.0,3.0,1532.0,31.0
2020-01-01 10:00:00,0.0,16.0,2306.0,160.0,7.0,6.0,2518.0,23.0
2020-01-01 11:00:00,0.0,18.0,3653.0,245.0,9.0,4.0,3963.0,34.0
2020-01-01 12:00:00,0.0,28.0,5116.0,328.0,12.0,3.0,5525.0,38.0
2020-01-01 13:00:00,0.0,29.0,6248.0,356.0,10.0,3.0,6681.0,35.0
2020-01-01 14:00:00,1.0,39.0,6635.0,380.0,6.0,7.0,7104.0,36.0
2020-01-01 15:00:00,0.0,39.0,6411.0,368.0,8.0,3.0,6854.0,25.0
2020-01-01 16:00:00,0.0,38.0,6416.0,338.0,11.0,6.0,6838.0,29.0
2020-01-01 17:00:00,0.0,35.0,5757.0,316.0,9.0,6.0,6151.0,28.0
2020-01-01 18:00:00,0.0,17.0,4914.0,248.0,9.0,0.0,5215.0,27.0
2020-01-01 19:00:00,0.0,20.0,4115.0,238.0,12.0,1.0,4417.0,31.0
2020-01-01 20:00:00,1.0,15.0,3210.0,165.0,8.0,2.0,3424.0,23.0
2020-01-01 21:00:00,0.0,9.0,2214.0,143.0,15.0,2.0,2415.0,32.0
2020-01-01 22:00:00,0.0,4.0,1553.0,100.0,11.0,1.0,1702.0,33.0
2020-01-01 23:00:00,0.0,3.0,850.0,78.0,11.0,1.0,980.0,37.0
2020-01-02 00:00:00,0.0,4.0,455.0,52.0,17.0,1.0,565.0,36.0
