"Datetime","Invalid","MBIKE","CAR","LGV","BUS","CARAVAN","Total","HGVs"
"2020-01-01 00:00:00",0,10,1061,75,18,0,1180,16
"2020-01-01 01:00:00",0,11,1273,87,8,0,1392,13
"2020-01-01 02:00:00",0,4,772,85,3,1,873,8
"2020-01-01 03:00:00",0,3,482,61,6,0,558,6
"2020-01-01 04:00:00",0,2,411,57,9,0,486,7
"2020-01-01 05:00:00",0,1,373,61,4,0,459,20
"2020-01-01 06:00:00",0,3,715,53,6,1,808,30
"2020-01-01 07:00:00",0,4,942,63,7,0,1030,14
"2020-01-01 08:00:00",0,6,1009,92,6,0,1136,23
"2020-01-01 09:00:00",0,13,1359,120,6,3,1532,31
"2020-01-01 10:00:00",0,16,2306,160,7,6,2518,23
"2020-01-01 11:00:00",0,18,3653,245,9,4,3963,34
"2020-01-01 12:00:00",0,28,5116,328,12,3,5525,38
"2020-01-01 13:00:00",0,29,6248,356,10,3,6681,35
"2020-01-01 14:00:00",1,39,6635,380,6,7,7103,36
"2020-01-01 15:00:00",0,39,6411,368,8,3,6854,25
"2020-01-01 16:00:00",0,38,6416,338,11,6,6838,29
"2020-01-01 17:00:00",0,35,5757,316,9,6,6151,28
"2020-01-01 18:00:00",0,17,4914,248,9,0,5215,27
"2020-01-01 19:00:00",0,20,4115,238,12,1,4417,31
"2020-01-01 20:00:00",1,15,3210,165,8,2,3423,23
"2020-01-01 21:00:00",0,9,2214,143,15,2,2415,32
"2020-01-01 22:00:00",0,4,1553,100,11,1,1702,33
"2020-01-01 23:00:00",0,3,850,78,11,1,980,37
"2020-01-02 00:00:00",0,4,455,52,17,1,565,36
"2020-01-02 01:00:00",0,1,223,32,3,0,301,42
"2020-01-02 02:00:00",0,2,150,40,3,0,223,28
"2020-01-02 03:00:00",0,0,179,52,2,0,285,52
"2020-01-02 04:00:00",0,3,430,86,7,0,600,74
"2020-01-02 05:00:00",0,5,1065,172,10,1,1389,136
"2020-01-02 06:00:00",1,11,3771,540,8,6,4570,234
"2020-01-02 07:00:00",0,46,6199,834,10,6,7339,244
"2020-01-02 08:00:00",0,32,6476,835,12,15,7637,267
"2020-01-02 09:00:00",0,18,4998,900,21,13,6273,323
"2020-01-02 10:00:00",0,28,4802,861,19,25,6110,375
"2020-01-02 11:00:00",0,28,5611,922,19,15,6946,351
"2020-01-02 12:00:00",0,28,6440,1033,18,15,7911,377
"2020-01-02 13:00:00",1,27,6818,931,16,10,8156,354
"2020-01-02 14:00:00",0,35,7024,909,15,21,8347,343
"2020-01-02 15:00:00",0,38,7890,939,19,14,9161,261
"2020-01-02 16:00:00",0,39,9299,924,7,17,10480,194
"2020-01-02 17:00:00",0,39,8692,632,13,6,9508,126
"2020-01-02 18:00:00",0,23,6107,423,12,4,6671,102
"2020-01-02 19:00:00",0,26,4280,324,20,4,4749,95
"2020-01-02 20:00:00",1,11,2953,265,16,3,3324,76
"2020-01-02 21:00:00",0,13,2231,147,6,2,2468,69
"2020-01-02 22:00:00",0,6,1689,143,8,2,1908,60
"2020-01-02 23:00:00",0,5,901,115,15,1,1099,62
"2020-01-03 00:00:00",0,10,589,73,20,1,749,56
"2020-01-03 01:00:00",0,2,285,45,6,1,391,52
"2020-01-03 02:00:00",0,2,197,39,0,0,277,39
"2020-01-03 03:00:00",0,4,182,63,5,0,301,47
"2020-01-03 04:00:00",0,0,427,85,3,1,608,92
"2020-01-03 05:00:00",0,6,995,179,10,0,1358,168
"2020-01-03 06:00:00",1,13,3575,580,11,12,4486,295
"2020-01-03 07:00:00",0,29,6200,888,9,13,7463,324
"2020-01-03 08:00:00",0,43,6797,919,16,21,8168,372
"2020-01-03 09:00:00",0,21,5444,999,22,23,6923,414
"2020-01-03 10:00:00",0,15,5427,941,19,21,6844,421
"2020-01-03 11:00:00",0,27,6188,1109,23,29,7817,441
"2020-01-03 12:00:00",0,38,7307,1063,16,31,8899,444
"2020-01-03 13:00:00",0,38,7443,1110,21,30,9047,405
"2020-01-03 14:00:00",1,40,8106,1142,21,22,9713,382
"2020-01-03 15:00:00",0,48,8686,1120,27,23,10200,296
"2020-01-03 16:00:00",0,47,9512,884,13,12,10680,212
"2020-01-03 17:00:00",0,48,8621,656,16,11,9483,131
"2020-01-03 18:00:00",0,34,6615,502,13,10,7290,116
"2020-01-03 19:00:00",0,23,4908,403,21,8,5439,76
"2020-01-03 20:00:00",0,18,3557,261,16,6,3945,87
"2020-01-03 21:00:00",0,12,2624,170,12,5,2880,57
"2020-01-03 22:00:00",0,14,1798,153,9,1,2039,64
"2020-01-03 23:00:00",0,5,1264,123,16,1,1449,40
"2020-01-04 00:00:00",0,6,879,86,20,3,1047,53
"2020-01-04 01:00:00",0,4,500,51,7,1,609,46
"2020-01-04 02:00:00",0,6,333,52,7,1,436,37
"2020-01-04 03:00:00",0,4,228,61,5,0,350,52
"2020-01-04 04:00:00",0,3,397,87,2,1,544,54
"2020-01-04 05:00:00",0,1,609,98,5,0,826,113
"2020-01-04 06:00:00",0,10,1220,211,7,1,1572,123
"2020-01-04 07:00:00",1,7,1841,348,8,13,2343,126
"2020-01-04 08:00:00",0,22,2918,414,10,12,3525,149
"2020-01-04 09:00:00",0,21,4184,519,15,12,4912,161
"2020-01-04 10:00:00",0,29,5188,618,8,16,6000,141
"2020-01-04 11:00:00",0,36,6710,705,13,16,7631,151
"2020-01-04 12:00:00",0,37,7808,695,17,16,8702,129
"2020-01-04 13:00:00",0,43,8420,707,19,19,9313,105
"2020-01-04 14:00:00",0,33,8248,715,13,11,9103,83
"2020-01-04 15:00:00",0,33,7921,588,19,17,8651,73
"2020-01-04 16:00:00",2,31,7471,498,19,13,8092,60
"2020-01-04 17:00:00",0,37,6994,447,13,14,7575,70
"2020-01-04 18:00:00",0,31,5684,373,10,6,6159,55
"2020-01-04 19:00:00",0,15,4577,304,14,2,4954,42
"2020-01-04 20:00:00",0,14,3443,259,13,3,3773,41
"2020-01-04 21:00:00",0,10,2399,170,14,0,2636,43
"2020-01-04 22:00:00",0,10,1687,148,9,3,1884,27
"2020-01-04 23:00:00",0,8,1357,130,14,1,1541,31
"2020-01-05 00:00:00",0,13,973,105,19,2,1141,29
"2020-01-05 01:00:00",0,5,582,62,6,0,675,20
"2020-01-05 02:00:00",0,0,282,51,2,0,350,15
"2020-01-05 03:00:00",0,1,270,50,5,0,343,17
"2020-01-05 04:00:00",0,2,351,64,4,0,441,20
"2020-01-05 05:00:00",0,1,482,60,5,0,574,26
"2020-01-05 06:00:00",0,6,789,78,6,2,908,27
"2020-01-05 07:00:00",0,4,1285,132,8,4,1477,44
"2020-01-05 08:00:00",0,13,1776,227,12,5,2076,43
"2020-01-05 09:00:00",0,14,2992,247,7,7,3314,47
"2020-01-05 10:00:00",0,28,4187,336,9,7,4615,48
"2020-01-05 11:00:00",0,22,5362,402,10,5,5851,50
"2020-01-05 12:00:00",0,32,6721,491,10,6,7314,54
"2020-01-05 13:00:00",0,30,8144,498,13,9,8739,45
"2020-01-05 14:00:00",0,51,7876,480,5,2,8470,56
"2020-01-05 15:00:00",0,39,7850,476,8,8,8428,47
"2020-01-05 16:00:00",0,32,7586,447,21,3,8125,36
"2020-01-05 17:00:00",0,27,6929,390,13,9,7410,42
"2020-01-05 18:00:00",0,36,6026,368,11,5,6491,45
"2020-01-05 19:00:00",0,25,4803,272,11,8,5167,48
"2020-01-05 20:00:00",0,13,3606,250,9,4,3934,52
"2020-01-05 21:00:00",0,8,2631,165,14,2,2877,57
"2020-01-05 22:00:00",0,7,1571,138,8,1,1766,41
"2020-01-05 23:00:00",0,7,925,84,11,2,1061,32
"2020-01-06 00:00:00",0,8,506,63,14,0,637,46
"2020-01-06 01:00:00",0,2,172,39,5,0,250,32
"2020-01-06 02:00:00",0,1,144,40,1,0,217,31
"2020-01-06 03:00:00",0,0,167,63,4,1,286,51
"2020-01-06 04:00:00",0,1,435,105,4,1,627,81
"2020-01-06 05:00:00",0,12,1352,219,9,0,1768,176
"2020-01-06 06:00:00",0,20,6400,1115,24,13,7939,367
"2020-01-06 07:00:00",0,36,9957,1295,14,28,11704,374
"2020-01-06 08:00:00",7,35,6758,826,30,36,8016,331
"2020-01-06 09:00:00",3,29,7552,1146,31,38,9309,513
"2020-01-06 10:00:00",1,26,5002,1235,20,34,6873,556
"2020-01-06 11:00:00",0,31,4779,1268,21,26,6718,593
"2020-01-06 12:00:00",2,35,4970,1233,15,28,6850,569
"2020-01-06 13:00:00",0,34,5523,1143,15,32,7301,554
"2020-01-06 14:00:00",0,39,5719,1265,21,33,7619,542
"2020-01-06 15:00:00",3,35,7582,1405,26,28,9535,459
"2020-01-06 16:00:00",5,38,8695,1097,32,30,10186,294
"2020-01-06 17:00:00",3,51,8964,741,28,19,9990,187
"2020-01-06 18:00:00",0,27,8113,626,18,5,8917,128
"2020-01-06 19:00:00",0,17,4659,393,21,1,5189,98
"2020-01-06 20:00:00",1,22,3122,257,18,6,3505,80
"2020-01-06 21:00:00",0,10,2210,207,12,8,2505,58
"2020-01-06 22:00:00",1,6,1471,142,9,0,1686,58
"2020-01-06 23:00:00",0,6,735,89,16,1,900,53
"2020-01-07 00:00:00",0,2,422,61,21,1,562,55
"2020-01-07 01:00:00",0,1,182,54,5,1,287,44
"2020-01-07 02:00:00",0,1,189,55,0,0,297,52
"2020-01-07 03:00:00",0,2,163,52,5,0,284,62
"2020-01-07 04:00:00",0,2,418,110,4,1,621,86
"2020-01-07 05:00:00",0,5,1248,226,6,3,1678,190
"2020-01-07 06:00:00",0,38,6367,1148,19,21,8000,407
"2020-01-07 07:00:00",3,38,9565,1221,14,24,11234,372
"2020-01-07 08:00:00",2,50,8829,1052,24,25,10340,360
"2020-01-07 09:00:00",1,39,7711,1419,32,35,9759,523
"2020-01-07 10:00:00",0,38,5667,1302,19,26,7622,570
"2020-01-07 11:00:00",0,27,5137,1230,23,24,7025,584
"2020-01-07 12:00:00",0,27,5423,1315,22,33,7375,555
"2020-01-07 13:00:00",0,35,5812,1273,18,22,7677,517
"2020-01-07 14:00:00",0,27,5979,1298,25,23,7860,508
"2020-01-07 15:00:00",0,38,7918,1490,28,25,9960,461
"2020-01-07 16:00:00",1,43,9325,1234,23,27,10923,271
"2020-01-07 17:00:00",1,47,8855,768,20,18,9864,156
"2020-01-07 18:00:00",3,40,8275,574,27,7,9066,143
"2020-01-07 19:00:00",0,24,5091,461,17,3,5684,88
"2020-01-07 20:00:00",0,21,3308,330,14,3,3750,74
"2020-01-07 21:00:00",0,13,2486,202,13,1,2781,66
"2020-01-07 22:00:00",0,8,1708,174,9,0,1974,75
"2020-01-07 23:00:00",0,5,839,87,16,2,1001,52
"2020-01-08 00:00:00",0,4,443,78,14,2,594,53
"2020-01-08 01:00:00",0,4,190,48,9,0,303,52
"2020-01-08 02:00:00",0,3,189,38,2,0,275,43
"2020-01-08 03:00:00",0,1,174,56,2,0,284,51
"2020-01-08 04:00:00",0,6,396,89,3,2,588,92
"2020-01-08 05:00:00",0,12,1258,236,9,2,1714,197
"2020-01-08 06:00:00",0,18,6276,1234,21,23,7974,402
"2020-01-08 07:00:00",0,42,9731,1394,19,29,11606,391
"2020-01-08 08:00:00",1,51,8986,1172,22,36,10672,405
"2020-01-08 09:00:00",0,52,7733,1348,29,23,9715,530
"2020-01-08 10:00:00",1,26,5685,1242,27,30,7575,565
"2020-01-08 11:00:00",1,36,5353,1267,25,32,7319,606
"2020-01-08 12:00:00",0,41,5905,1322,27,34,7932,603
"2020-01-08 13:00:00",2,34,6258,1242,27,31,8148,556
"2020-01-08 14:00:00",1,49,6380,1415,28,30,8449,547
"2020-01-08 15:00:00",1,42,8175,1501,42,30,10264,474
"2020-01-08 16:00:00",5,44,9595,1180,50,29,11233,335
"2020-01-08 17:00:00",1,61,9308,856,33,23,10474,193
"2020-01-08 18:00:00",1,37,7962,608,18,11,8757,121
"2020-01-08 19:00:00",0,29,5606,490,24,4,6249,96
"2020-01-08 20:00:00",0,22,3767,336,18,5,4237,89
"2020-01-08 21:00:00",0,24,2805,279,9,8,3195,70
"2020-01-08 22:00:00",0,9,1815,179,8,5,2085,69
"2020-01-08 23:00:00",0,4,858,89,11,2,1011,47
"2020-01-09 00:00:00",0,5,441,74,20,3,602,59
"2020-01-09 01:00:00",1,1,190,50,5,0,293,47
